Repositório,Número de Estrelas,Último Commit,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer,AplicacaoWeb
astrod333/dash,19,2025-04-21T22:40:01Z,true,false,false,false,false,false,false,Sim
sagar2535/e-commerce-admin,13,2024-10-19T03:54:41Z,true,false,false,false,false,false,false,Sim
microrealestate/microrealestate,890,2025-09-12T17:52:52Z,true,false,false,false,false,false,false,Sim
antdv-pro/antdv-pro,822,2025-09-25T01:45:23Z,true,false,false,false,false,false,false,Sim
Jexactyl/Jexactyl,478,2025-09-16T15:40:56Z,true,false,false,false,false,false,false,Sim
fajarghifar/inventory-management-system,438,2025-06-11T03:28:46Z,true,false,false,false,false,false,false,Sim
Alanaktion/phproject,396,2025-08-20T19:41:24Z,true,false,false,false,false,false,false,Sim
mamun724682/Inventory-Management-System-Laravel-SPA,247,2024-11-09T13:57:51Z,true,false,false,false,false,false,false,Sim
MusheAbdulHakim/Laravel-Smarthr,224,2024-12-12T04:12:41Z,true,false,false,false,false,false,false,Sim
duxweb/duxcms,192,2024-09-30T03:14:49Z,true,false,false,false,false,false,false,Sim
Coderberg/ResidenceCMS,175,2025-03-01T13:43:46Z,true,false,false,false,false,false,false,Sim
SMEWebify/WebErpMesv2,174,2025-09-26T14:36:21Z,true,false,false,false,false,false,false,Sim
PanamaHat123/Ruoyi-Nest-React,134,2024-10-08T02:51:20Z,true,false,false,false,false,false,false,Sim
chandachewe10/loan-management-system,121,2025-09-06T22:41:18Z,true,false,false,false,false,false,false,Sim
horia141/thrive,121,2025-09-28T19:16:49Z,true,false,false,false,false,false,false,Sim
seymoe/QuillCMS,106,2025-06-07T08:14:25Z,true,false,false,false,false,false,false,Sim
ustaxcourt/ef-cms,99,2025-09-26T19:42:31Z,true,false,false,false,false,false,false,Sim
YasserElgammal/blog-cms,84,2025-04-10T15:04:54Z,true,false,false,false,false,false,false,Sim
nurRiyad/snacks-management,7,2025-07-11T05:48:44Z,true,false,false,false,false,false,false,Sim
natiq-foundation/control-frontend,6,2025-02-06T14:24:51Z,true,false,false,false,false,false,false,Sim
TurboServlet/turbonet-polar-frontend,5,2025-06-23T09:32:00Z,true,false,false,false,false,false,false,Sim
robusta-dev/robusta,2870,2025-09-16T12:41:35Z,false,false,true,false,false,false,false,Sim
cybertec-postgresql/pgwatch,503,2025-09-24T12:46:45Z,true,false,false,false,false,false,false,Sim
meceware/wapy.dev,442,2025-08-24T10:11:35Z,true,false,false,false,false,false,false,Sim
larscom/gitlab-ci-dashboard,57,2025-09-28T13:33:50Z,true,false,false,false,false,false,false,Sim
Krishna18062005/FactoryFlowAI-NextJS,47,2025-03-23T06:43:06Z,true,false,false,false,false,false,false,Sim
petaki/satellite,43,2025-03-14T17:19:39Z,true,false,false,false,false,false,false,Sim
pyrohost/status,28,2025-01-07T17:31:42Z,true,false,false,false,false,false,false,Sim
Jonathan-Hofmann/ficsit-remote-monitoring-dasboard,19,2024-11-27T18:30:27Z,true,false,false,false,false,false,false,Sim
TAIJULAMAN/EcommerceWeb-AdminSide,15,2024-10-18T21:09:03Z,true,false,false,false,false,false,false,Sim
sioaeko/StatusWatch,6,2025-01-19T13:03:05Z,true,false,false,false,false,false,false,Sim
helwyza-f/dashboard-monitoring,5,2024-12-28T04:22:02Z,true,false,false,false,false,false,false,Sim
boussaidev/livekit-dashboard,5,2025-02-10T19:30:10Z,true,false,false,false,false,false,false,Sim
ShadBalti/Age-Calculator-App,11,2025-05-01T12:41:04Z,false,false,false,false,false,false,true,Sim
Thomaash/me,72,2025-09-27T08:06:44Z,true,false,false,false,true,false,false,Sim
ShariarSheikh/deepbazar,10,2025-05-18T05:21:33Z,true,false,false,false,false,false,false,Sim
cmdalbem/ciclomapa,82,2025-09-02T09:04:07Z,true,false,false,false,false,false,false,Sim
Touch-N-Stars/Touch-N-Stars,73,2025-09-26T19:09:12Z,true,false,false,false,false,false,false,Sim
ozgrozer/jaydon,18,2024-10-03T00:05:10Z,true,false,false,false,true,false,false,Sim
captainAyan/lucafy,14,2025-08-14T21:38:07Z,true,false,false,false,false,false,false,Sim
theowni/EPSS-Calculator,14,2024-11-11T23:34:14Z,true,false,false,false,false,false,false,Sim
HeimLabs/coinbase-myusdc-frontend,47,2024-10-02T17:13:26Z,true,false,false,false,false,false,false,Sim
amarbalu/Tunes,19,2025-05-18T05:18:01Z,true,false,false,false,false,false,false,Sim
Guten-Morgen1302/Social-Media-Dashboard,4,2025-03-06T04:52:38Z,true,false,false,false,false,false,false,Sim
waynesutton/todohosted,4,2025-06-12T12:40:26Z,true,false,false,false,false,false,false,Sim
Jonathan-Hofmann/ficsit-remote-monitoring-dasboard,19,2024-11-27T18:30:27Z,true,false,false,false,false,false,false,Sim
